distance,velocity,variation_velocity,risk
312.00,0.00,-13.30,1
242.50,69.50,69.50,1
136.20,106.30,36.80,2
92.80,43.40,-62.90,3
414.40,0.00,-43.40,1
335.40,79.00,79.00,1
273.20,62.20,-16.80,1
215.60,57.70,-4.60,1
160.70,54.90,-2.70,2
111.10,49.60,-5.30,2
47.60,63.50,13.90,3
4.60,43.00,-20.50,3
226.50,0.00,-43.00,1
124.80,101.70,101.70,3
394.80,0.00,-101.70,1
330.90,63.80,63.80,1
268.50,62.40,-1.40,1
210.80,57.70,-4.70,2
162.20,48.60,-9.10,2
123.30,39.00,-9.60,2
50.50,72.70,33.70,3
3.70,46.90,-25.80,3
170.40,0.00,-46.90,1
96.70,73.70,73.70,3
63.80,32.90,-40.70,3
578.50,0.00,-32.90,1
497.10,81.40,81.40,1
391.50,105.70,24.30,2
305.20,86.30,-19.40,1
229.20,76.00,-10.30,1
169.90,59.30,-16.80,2
132.60,37.20,-22.00,2
136.20,-3.50,-40.80,2
428.60,0.00,3.50,1
345.30,83.30,83.30,1
268.80,76.50,-6.80,1
207.70,61.10,-15.40,2
150.20,57.50,-3.70,2
97.90,52.30,-5.10,3
60.20,37.70,-14.60,3
38.10,22.00,-15.70,3
43.60,-5.50,-27.50,3
4.50,39.20,44.70,3
211.30,0.00,-39.20,1
136.10,75.20,75.20,2
0.00,136.10,61.00,3
405.10,0.00,-136.10,1
294.50,110.60,110.60,2
100.50,193.90,83.30,3
65.10,35.50,-158.50,3
59.40,5.70,-29.80,3
449.40,0.00,-5.70,1
371.10,78.30,78.30,1
266.60,104.50,26.30,2
166.30,100.30,-4.20,2
117.70,48.70,-51.70,2
75.70,42.00,-6.70,2
44.60,31.13,-10.90,2
247.40,0.00,-31.10,1
125.90,121.60,121.60,3
90.00,35.80,-85.70,3
54.70,35.40,-0.50,3
406.10,0.00,-35.40,1
329.80,76.30,76.30,1
277.20,52.60,-23.70,1
146.80,130.40,77.80,2
100.30,46.60,-83.80,2
377.40,0.00,-46.60,1
308.20,69.20,69.20,1
228.40,79.80,10.60,1
203.00,25.50,-54.30,1
116.60,86.40,60.90,2
76.50,40.20,-46.20,3
417.60,0.00,-40.20,1
309.50,108.20,108.20,2
112.50,197.00,88.80,3
44.00,68.50,-128.40,3
378.30,0.00,-68.50,1
325.80,52.50,52.50,1
349.30,-23.50,-76.00,1
271.50,77.80,101.30,1
188.70,82.80,5.00,2
139.10,49.60,-33.20,2
41.30,97.80,48.20,3
254.60,0.00,-97.80,1
110.70,143.90,143.90,3
68.80,42.00,-101.90,3
393.40,0.00,-42.00,1
288.70,104.80,104.80,2
158.60,130.10,25.30,3
108.00,50.60,-79.50,2
138.40,-30.40,-81.00,2
106.30,32.10,62.40,2
95.50,10.80,-21.30,3
357.60,0.00,-10.80,1
282.40,75.20,75.20,1
223.40,59.00,-16.20,1
96.70,126.70,67.70,3
65.60,31.13,-95.70,3
4.50,61.20,30.13,3
173.20,0.00,-61.20,1
103.90,69.30,69.30,2
86.60,17.30,-52.00,3
342.60,0.00,-17.30,1
273.00,69.60,69.60,1
210.50,62.50,-7.10,1
113.40,97.10,34.60,3
73.00,40.50,-56.60,3
41.10,31.90,-8.60,3
165.50,0.00,-31.90,2
102.90,62.60,62.60,2
363.90,0.00,-62.60,1
288.00,75.90,75.90,1
152.20,135.80,59.90,3
101.70,50.50,-85.30,3
521.50,0.00,-50.50,1
338.20,183.30,183.30,3
236.10,102.10,-81.10,2
72.80,163.30,61.20,3
79.10,-6.30,-169.60,3
359.30,0.00,6.30,1
280.20,79.10,79.10,1
204.40,75.70,-3.30,1
386.90,0.00,-75.70,1
305.10,81.80,81.80,1
170.60,134.50,52.70,3
115.30,55.30,-79.20,2
132.30,-17.00,-72.30,2
4.20,128.10,145.10,3
335.00,0.00,-128.10,1
258.90,76.10,76.10,1
201.10,57.80,-18.30,1
138.90,62.20,4.30,2
90.70,48.20,-13.90,3
68.80,21.90,-26.40,3
453.40,0.00,-21.90,1
319.70,133.70,133.70,2
231.60,88.10,-45.60,1
246.30,-14.70,-102.90,1
136.80,109.50,124.20,3
86.00,50.80,-58.70,3
220.50,0.00,-50.80,1
126.00,94.50,94.50,2
95.60,30.40,-64.10,3
443.60,0.00,-30.40,1
358.30,85.30,85.30,1
297.50,60.80,-24.50,1
167.60,129.80,69.00,3
113.70,54.00,-75.90,2
140.40,-26.70,-80.60,2
445.90,0.00,26.70,1
383.90,62.00,62.00,1
